인물명 (시대/지역),주요 업적 및 활동 내용,족보여부
로버트 훅 (1635-1703),현미경으로 세포 발견 및 화석 관찰 ,
뉴턴 (1642-1727),서양 과학의 효시 ,
부르너 (1653-1727),샘창자샘(Brunner’s gland) 발견 ,
스테판 헤일스 (1773),말에서 최초로 혈압 직접 측정 ,
모르가니 (1682-1771),"병리해부학의 창시자, 《질병의 자리와 원인에 관하여》 저술, 장기의 국소적 변화와 임상증상을 연관 지어 고체병리학을 확립",o
메리 몬터규 부인 (1720),터키에서 배운 인두 접종법을 영국에 알림 ,
제임스 린드 (1716-1791),오렌지와 레몬을 이용한 괴혈병 치료법 발견 ,
윌리엄 헌터 (1718-1783),사설 해부학교 및 해부박물관 건립 ,
아우엔브루거 (1722-1809),흉부질환 진단에 타진법이 유용함을 증명 ,
존 헌터 (1728-1793),모음근굴(Hunter’s canal) 기술 ,
벤자민 제스티 (1774),제너보다 22년 앞서 가족에게 우두법 시행 ,
요한 페터 프랑크 (1745-1821),"예방의학의 창시자, 국가적 의료정책 체계 제안 ",
에드워드 제너 (1749-1823),우두접종법(종두법) 최초 시행 및 성공 ,
토머스 퍼시벌 (1803),의료 윤리에 관한 책 저술 ,
비샤 (1771-1802),"조직학의 기초 확립, 장기가 아닌 '조직'을 생리적 최소 단위로 규명 ",o
디 하엔,병원에 전임 의사 상주 체제 도입 및 임상 강의 개혁 ,
프랑수아 마장디 (1783-1855),"통증전달 신경 경로 최초 발견, 영국 동물보호법의 원인이 된 생체 해부 관련 인물",o
찰스 벨 (1774-1842),얼굴신경마비(Bell’s palsy) 기술 ,
바시 (Agostino Bassi) (1800년대 초),누에병 원인 곰팡이 발견 ,
정약용 (1762-1836),"우리나라에 인두법 최초 소개, 《마과회통》 저술 ",
리처드 브라이트 (1789-1858),"심장병과 신장병 부종 구분, 신우신염과 단백뇨 연관 규명 ",
제임스 파킨슨 (1755-1824),파킨슨씨병 기술 ,
라엔넥,청진기 발명 및 청진법 확립 ,
토머스 호지킨 (1798-1866),림프암(호지킨병) 기술 ,
윌리엄 스토우크스 (1804-1878),체인-스토우크스 호흡 및 아담-스토우크스병 기술 ,
홈즈 (Oliver Holmes) (1840년경),산욕열의 미생물 전파설 시사 ,
칼 분더리히 (1815-1877),"체온 변화 연구, 해열 목적으로 아스피린 등 사용 ",
젬멜바이스 (1818-1865),산욕열 예방을 위한 손씻기(소독)의 중요성 강조 ,
푸르키니에 (1787-1869),푸르키니에 섬유 및 세포 발견 ,
루돌프 피르호 (1821-1902),"세포병리학 및 사회의학의 창시자, ""모든 세포는 세포에서 나온다"" ",
조지프 잭슨 리스터 (1826),색수차를 없앤 현미경 렌즈 제작 ,
루이 비예르메 (1829),공중 보건 연구에 통계적 방법 도입 ,
클로드 베르나르 (1813-1878),"내분비(internal secretion)라는 용어를 처음 사용하고, 일산화탄소와 헤모글로빈의 결합을 밝혀냄",o
루이 파스퇴르 (1822-1895),"저온살균법 창안, 광견병 백신 개발, 자연발생설 부정, 질병의 미생물설 주장 ",o
로베르트 코흐 (1843-1910),"결핵균·콜레라균,탄저균 발견, 미생물 병원설 입증, 고형배지를 사용하여 세균을 순수 분리 배양함.",o
조지프 리스터 (아들) (1827-1912),"외과 수술에 소독(석탄산) 도입, 흡수성 봉합사 개발 ",
나이팅게일,일반적인 병원 위생 개선에 기여 ,
세르튀너,"양귀비에서 모르핀 분리, 현대 약리학의 시발점 ",
크로포드 롱 (1815-1878),최초로 에테르 마취 시행 ,o
윌리엄 모튼,에테르 마취법 보급 ,
테오도르 빌로트 (1829-1894),"내장 수술의 창시자 (식도, 후두, 위 절제술 등) ",
막스 폰 페텐코퍼,위생개혁 운동 주도 ,
채드윅,"《1842년 위생보고서》 작성, 행정적 위생개혁 추구 ",
엥겔스,"《영국 노동자 계급의 상태》 저술, 열악한 근로조건의 유해성 고발 ",
비스마르크,1883년 세계 최초의 의료보험 실시 ,
윌리엄 버몬트 (1785-1853),위액 분비와 소화 생리 관찰 ,
윌리엄 오슬러 (1849-1919),"현대 내과학의 기틀 마련, 존스 홉킨스 의대 설립 주도 ",
존스 홉킨스,유산 기증을 통해 존스 홉킨스 대학 및 병원 설립 ,
허준,"《동의보감》 편찬, 한국 실정에 맞는 의학 정립 ",
황도연·황필수,조선 후기 의서 《방약합편》 편찬 ,
이제마 (1837-1900),"사상의학 창시, 《동의수세보원》 저술 ",o
지석영 (1855-1935),"우리나라 우두법 전파 기여, 《우두신설》 저술 ",
알렌 (H. N. Allen),"우리나라 최초 서양식 병원 '제중원' 초대 원장, 의학교육 실시 ",
에비슨 (Oliver Avison),"제중원 운영권 인수, 의학 교과서 번역 및 정규 의학교육 실시 ",
뢴트겐 (1895),X선 발견 ,
아인토벤 (1903),심전도기 발명 ,
벤팅 (1891-1941),인슐린 분리 성공 ,o
알렉산더 플레밍 (1881-1955),페니실린 및 라이소자임 발견 ,
플로리 & 체인,페니실린 실용화 성공 ,
셀먼 왁스만 (1888-1973),스트렙토마이신(결핵 치료제) 발견 ,
제임스 왓슨 & 프랜시스 크릭,DNA 이중 나선 구조 규명 ,
조너스 소크 (1954),소아마비 백신 개발 ,
알버트 사빈,경구용 소아마비 백신 개발 ,
크리스티안 바나드 (1967),세계 최초 심장 이식 수술 성공 ,
하운즈필드 (1972),컴퓨터단층촬영기(CT) 개발 ,
로버트 에드워드 & 패트릭 스텝토,세계 최초 체외수정(시험관 아기) 성공 ,
마가릿 생어 (1879-1966),경구피임약 개발 주도 및 여성 권익 신장 사회운동 ,o
그레고리 핀커스 (1903-1967),"생식생물학자, 경구피임약 개발 주도 ",
존 로크 (John Rock) (1890-1984),경구피임약 임상시험 실시 ,
캐서린 맥코믹,경구피임약 개발 자금 기부 ,
이안 윌무트,복제양 둘리 탄생 주도 ,
폰 베링 (1854-1917),"디프테리아 항독소 발견, 제1회 노벨생리의학상 수상 ",
파블로프 (1890),"고전적 조건화(파블로프의 개) 연구, 노벨상 수상 ",
르로이 스티븐스,줄기 세포 발견 ,
존 기번,인공 심폐기 개발 ,
한스 베르거 (1929),뇌파기록계 발명 ,
켄달,갑상선호르몬 및 부신피질호르몬 분리 ,
에른스트 스탈링 & 윌리엄 배일리스,세크레틴(호르몬) 발견 ,
최치원,스스로를 '동인'이라 칭함 ,
박서양,에비슨의 양자이자 우리나라 초기 면허 의사 ,
아우렐리우스 코넬리우스 켈수스,"염증의 네 가지 징후(rubor, dolor, calor, tumor)를 최초로 주장한 사람",o
